freq,time,overtone,range_used,data_source
-1.3171413777768612E+02,1.3214384895999999E+03,3rd_freq,x,qcmi_sample
-1.3173231947608292E+02,1.3264791419999999E+03,3rd_freq,x,qcmi_sample
-1.3165971827693284E+02,1.3315354671000000E+03,3rd_freq,x,qcmi_sample
-1.3207813577726483E+02,1.3365918979999999E+03,3rd_freq,x,qcmi_sample
-1.3218259357661009E+02,1.3416457267000001E+03,3rd_freq,x,qcmi_sample
-1.3202275707758963E+02,1.3466813277000001E+03,3rd_freq,x,qcmi_sample
-1.3192613117769361E+02,1.3517140847000001E+03,3rd_freq,x,qcmi_sample
-1.3208867427706718E+02,1.3567606055000001E+03,3rd_freq,x,qcmi_sample
-1.3203493177704513E+02,1.3618032747000000E+03,3rd_freq,x,qcmi_sample
-1.3189855547621846E+02,1.3668474151999999E+03,3rd_freq,x,qcmi_sample
-1.3206866287626326E+02,1.3719008954000001E+03,3rd_freq,x,qcmi_sample
-1.3237841477617619E+02,1.3769552314000000E+03,3rd_freq,x,qcmi_sample
-1.3217199777625501E+02,1.3820020755000000E+03,3rd_freq,x,qcmi_sample
-1.3211731097660959E+02,1.3870455594000000E+03,3rd_freq,x,qcmi_sample
-1.3204260837659240E+02,1.3921005471000001E+03,3rd_freq,x,qcmi_sample
-1.3198269267752767E+02,1.3971442170000000E+03,3rd_freq,x,qcmi_sample
-1.3179751357622445E+02,1.4021802332000000E+03,3rd_freq,x,qcmi_sample
-1.3171124337613583E+02,1.4072256781999999E+03,3rd_freq,x,qcmi_sample
-1.3196193167753518E+02,1.4122595128999999E+03,3rd_freq,x,qcmi_sample
