Distance_(pixels),Gray_Value
1283,135
1284,132.3333
1285,135.6667
1286,133.6667
1287,135
1288,135.3333
1289,134.3333
1290,132.6667
1291,132.3333
1292,134.6667
1293,136
1294,132.6667
1295,133.6667
1296,134
1297,133
1298,133.6667
1299,134.6667
1300,133.3333
1301,135.6667
1302,133
1303,132
1304,133
1305,134
1306,132
1307,131.3333
1308,133.6667
1309,134.6667
1310,132
1311,129
1312,131
1313,134.3333
1314,133.3333
1315,132.3333
1316,132.6667
1317,133
1318,133.6667
1319,135
1320,133.6667
1321,133.6667
1322,132.6667
1323,130.6667
1324,131.3333
1325,134.3333
1326,133.6667
1327,133.6667
1328,134.6667
1329,132.6667
1330,132.6667
1331,132.6667
1332,132.6667
1333,136.6667
1334,133.3333
1335,132.3333
1336,130.6667
1337,126.6667
1338,133
1339,135
1340,134.3333
1341,132.3333
1342,132
1343,132.6667
1344,132.6667
1345,132.3333
1346,132.6667
1347,133.3333
1348,129.3333
